,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,id,index
0,0,0,0,0,0,27,63,95,125,139,171,229,201,181,196,190,168,197,163,64,1,0,0,0,32.0,16.0
0,2,0,0,0,0,41,63,121,273,359,408,576,502,435,449,512,621,712,706,504,254,100,45,26,89.0,37.0
0,45,6,8,8,26,156,282,539,573,715,1021,1368,1467,1414,1370,1436,1537,1621,1590,1271,782,418,171,96,240.0,132.0
0,0,0,0,0,7,0,0,0,0,43,92,139,191,234,214,168,173,207,208,136,81,47,25,24,315.0,162.0
0,0,0,0,0,0,0,15,79,86,116,116,115,115,107,104,120,97,75,68,44,19,0,0,0,405.0,201.0
0,237,97,48,43,45,82,419,766,1149,1747,2154,2988,3444,3323,3051,2968,3275,3728,3926,3456,2533,1654,819,469,433.0,214.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,478.0,235.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,618.0,315.0
0,11,2,2,3,3,61,198,282,566,764,1073,1279,1192,1190,1164,1230,1317,1267,937,645,420,178,83,30,656.0,336.0
0,0,0,0,0,0,0,0,0,41,239,221,170,152,174,181,148,90,0,0,0,0,0,0,0,823.0,426.0
0,51,47,44,41,48,160,268,239,214,315,344,365,379,359,317,325,354,350,253,139,114,113,50,31,846.0,446.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,948.0,501.0
0,150,97,59,30,31,163,266,529,952,1240,1704,2541,2682,2492,2357,2453,2698,2949,2693,2179,1556,956,487,261,1011.0,538.0
0,30,0,0,0,0,163,325,696,1416,1941,2418,3146,3320,3127,2676,2387,2362,2707,2625,2148,1315,658,230,106,1024.0,544.0
0,3,3,3,3,3,54,87,186,209,359,478,528,536,535,529,539,534,474,319,176,97,46,12,3,1047.0,555.0
0,0,0,0,0,0,0,56,112,319,678,710,725,744,759,730,638,465,295,124,57,20,1,0,0,1052.0,558.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1157.0,622.0
0,0,0,0,0,0,0,0,184,288,390,386,363,347,319,289,250,205,143,100,58,0,0,0,0,1864.0,1123.0
0,11,0,0,0,0,45,246,210,497,890,1044,1187,1103,1026,1051,1080,1142,1012,817,481,220,88,48,32,1871.0,1126.0
0,0,0,0,0,0,43,135,220,602,698,725,772,811,713,593,479,335,270,198,134,58,10,0,0,1873.0,1127.0
0,3,3,3,3,3,33,36,110,165,613,587,576,601,620,604,553,480,346,199,93,17,5,3,3,1875.0,1128.0
0,0,0,0,0,0,2,11,28,232,442,466,543,520,469,468,485,464,447,372,256,137,60,17,6,1879.0,1131.0
0,0,0,1,1,2,16,119,407,699,882,905,1079,1121,1061,923,744,590,453,315,182,71,12,4,0,1882.0,1133.0
0,154,82,22,24,60,446,1125,1816,2874,4343,6634,8279,8409,7914,7492,7542,8013,8247,6981,4872,2838,1596,737,365,2327.0,1453.0
0,0,0,0,0,0,0,69,141,301,309,299,257,200,199,202,250,272,177,84,31,3,0,0,0,2703.0,1559.0
0,40,36,32,32,33,54,95,136,162,178,200,221,229,209,176,142,105,74,49,40,44,48,52,59,3832.0,1880.0
0,2,2,2,5,15,70,275,279,666,961,1171,1164,1126,1109,1051,849,692,509,332,206,108,47,18,7,3890.0,1917.0
0,154,68,22,24,38,358,948,1513,2400,3971,6218,7771,8001,7469,6957,7026,7578,7753,6629,4519,2485,1362,697,351,3893.0,1920.0
0,6,4,4,4,4,42,163,349,655,857,1098,1349,1270,1071,906,810,907,853,705,552,251,73,31,15,4229.0,2197.0
0,3,3,3,3,12,119,197,325,380,567,548,657,684,628,583,505,357,255,237,209,83,31,4,3,4842.0,2543.0
0,0,0,0,0,0,0,55,67,550,765,640,587,616,643,535,405,215,19,0,0,0,0,0,0,5071.0,2643.0
0,44,5,7,7,20,129,274,493,517,674,1012,1429,1547,1493,1441,1492,1617,1689,1645,1305,799,420,186,88,5136.0,2672.0
0,0,0,0,0,0,0,0,102,335,412,434,421,405,426,396,268,94,0,0,0,0,0,0,0,5183.0,2689.0
0,136,61,1,1,24,171,664,1364,3185,4772,6056,8070,7897,6691,5913,5487,5150,3978,3160,2405,1674,1018,668,458,5266.0,2747.0
0,0,0,0,0,0,0,0,0,0,10,20,30,36,46,56,66,70,63,43,23,10,0,0,0,5595.0,2940.0
0,9,9,9,9,9,9,77,223,286,418,468,443,404,393,463,426,314,238,162,109,39,12,9,9,5613.0,2950.0
0,54,10,2,2,2,22,73,219,691,1060,1403,1547,1544,1586,1681,1724,1846,1848,1621,1272,838,516,266,125,5643.0,2973.0
0,0,0,0,0,0,34,115,151,209,445,574,647,585,595,640,644,592,454,455,378,207,75,3,0,5784.0,3059.0
0,3,3,5,7,11,48,196,397,695,1284,1367,1335,1236,1140,1092,1078,918,543,378,207,80,12,5,7,5904.0,3132.0
0,75,42,33,34,60,227,637,817,986,1204,1528,1710,1737,1579,1358,1209,1246,1300,1095,988,758,505,279,170,6075.0,3266.0
0,48,33,31,35,40,47,84,134,421,1031,1379,1750,1734,1661,1565,1623,1538,1431,1206,911,719,592,312,113,6081.0,3270.0
0,0,0,0,0,0,0,0,0,265,253,249,250,263,274,265,227,168,86,57,48,0,0,0,0,6085.0,3274.0
0,0,0,0,0,0,0,81,242,530,616,766,799,733,642,609,515,405,240,155,100,54,22,7,0,6087.0,3276.0
0,248,143,79,52,94,208,695,1538,3276,4962,6346,8292,8362,7419,6577,6215,6383,6585,6108,4868,3469,2212,1174,590,6114.0,3290.0
0,0,0,0,0,0,0,5,50,388,413,378,419,458,471,467,498,461,294,308,220,93,33,0,0,6198.0,3341.0
0,49,22,14,25,33,106,435,1132,1795,2331,2634,2940,2991,2830,2446,2049,1755,1503,1310,997,681,425,239,100,6270.0,3392.0
0,11,11,16,26,81,190,240,337,405,474,574,663,761,815,790,733,659,551,443,333,184,77,27,17,6272.0,3393.0
0,12,12,17,27,89,190,239,344,423,486,556,613,718,798,810,770,695,606,525,411,219,76,28,18,6278.0,3399.0
0,32,20,17,27,79,145,174,269,332,395,453,527,598,644,637,632,587,549,475,401,272,155,81,38,6279.0,3400.0
0,54,34,26,30,34,64,138,375,1277,1962,2242,2566,2644,2566,2390,2100,1656,1084,898,772,585,390,190,100,6293.0,3408.0
0,82,35,3,3,15,105,281,473,1453,1942,2137,2266,2334,2436,2391,2072,1869,1688,1584,1351,885,554,388,265,6295.0,3409.0
